,molecule_chembl_id,IC50,units,SMILES,pIC50,activity_label,ML_activity_label
0,CHEMBL3621294,0.00687,nM,O=C(CCCCCCC(=O)Nc1ccc2c(c1)/C(=C/c1ccc[nH]1)C(=O)N2)NO,11.16304326294045,active,1
1,CHEMBL3689858,0.01,nM,CCC(CC)CN(CC)Cc1c(C)nc2cc(/C=C/C(=O)NO)ccn12,11.0,active,1
2,CHEMBL3689829,0.02,nM,CCCCNCc1c(CCCC)nc2cc(/C=C/C(=O)NO)ccn12,10.698970004336019,active,1
3,CHEMBL4861467,0.05,nM,CCC(=O)CCCCC[C@H](NC(=O)[C@H]1CC12CCN(CC1CC1)CC2)c1ncc(-c2cc3cccnc3cc2OC)[nH]1,10.301029995663981,active,1
4,CHEMBL3689834,0.06,nM,CCCCc1nc2cc(/C=C/C(=O)NO)ccn2c1CN(CC)CCCC,10.221848749616356,active,1
5,CHEMBL4641682,0.08,nM,CN1CC(C(=O)N[C@@H](CCCCCC(=O)c2ccon2)c2ncc(-c3ccccc3F)[nH]2)C1,10.096910013008056,active,1
6,CHEMBL4649205,0.085,nM,CCC(=O)CCCCC[C@H](NC(=O)[C@H]1CC12CCN(CC1CC1)CC2)c1ncc(-c2cc3ccccc3nc2OC)[nH]1,10.070581074285707,active,1
7,CHEMBL2105763,0.1,nM,Cn1cc(CNCC2CCN(c3ncc(C(=O)NO)cn3)CC2)c2ccccc21,10.0,active,1
8,CHEMBL4644038,0.11,nM,CCC(=O)CCCCC[C@H](NC(=O)[C@H]1CC12CCN(C(C)C)CC2)c1ncc(-c2cc3ccccc3nc2OC)[nH]1,9.958607314841775,active,1
9,CHEMBL4878197,0.11,nM,CCC(=O)CCCCC[C@@H]1NC(=O)[C@H]2CC23CCN(CCCCCCCCn2ccc4cc(c(OC)cc4c2=O)-c2cnc1[nH]2)CC3,9.958607314841775,active,1
10,CHEMBL4568666,0.11,nM,O=C1C[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CCCCCC(=O)[C@@H]2CO2)N1,9.958607314841775,active,1
11,CHEMBL2000089,0.11,nM,O=C1N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C(=O)N[C@@H](CCCCCC(=O)[C@@H]2CO2)C(=O)N[C@H]1Cc1ccccc1,9.958607314841775,active,1
12,CHEMBL4876610,0.11,nM,CCC(=O)CCCCC[C@@H]1NC(=O)[C@H]2CC23CCN(CCCOCCn2ccc4cc(ccc4c2=O)-c2cnc1[nH]2)CC3,9.958607314841775,active,1
13,CHEMBL146250,0.12,nM,C/C=C1\NC(=O)[C@@H](CS)NC(=O)[C@@H](C(C)C)NC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](C(C)C)NC1=O,9.920818753952375,active,1
14,CHEMBL4438063,0.15,nM,CC1(C)NC[C@H](CCCCCC(=O)C2CO2)NC(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O,9.823908740944319,active,1
15,CHEMBL99,0.15,nM,CC(/C=C/C(=O)NO)=C\[C@@H](C)C(=O)c1ccc(N(C)C)cc1,9.823908740944319,active,1
16,CHEMBL4283683,0.16,nM,Cn1cc(-c2ccc(S(=O)(=O)n3ccc(/C=C/C(=O)Nc4ccccc4N)c3)cc2)cn1,9.795880017344075,active,1
17,CHEMBL4637689,0.16,nM,Cc1cc(C(=O)CCCCC[C@H](NC(=O)C2CN(C)C2)c2ncc(-c3ccccc3F)[nH]2)no1,9.795880017344075,active,1
18,CHEMBL4862152,0.17,nM,CCC(=O)CCCCC[C@H](NC(=O)[C@H]1CC12CCN(CC1CC1)CC2)c1ncc(-c2cc3ccc(C)nc3cc2OC)o1,9.769551078621726,active,1
19,CHEMBL4532398,0.19,nM,C[C@@H]1CN(C(=O)Nc2ccc(-c3nc(N4CCOCC4)c4cnn(CCCCCCC(=O)NO)c4n3)cc2)CCO1,9.721246399047171,active,1
20,CHEMBL4642518,0.19,nM,CCC(=O)CCCCC[C@H](NC(=O)[C@H]1CC12CCN(C)CC2)c1ncc(-c2cc3ccccc3nc2OC)[nH]1,9.721246399047171,active,1
21,CHEMBL4860000,0.2,nM,CCC(=O)CCCCC[C@@H]1NC(=O)[C@H]2CC23CCN(CCCCCCCCn2ccc4cc(ccc4c2=O)-c2cnc1[nH]2)CC3,9.698970004336019,active,1
22,CHEMBL343448,0.2,nM,C/C=C1\NC(=O)[C@H]2CSSCC/C=C/[C@H](CC(=O)N[C@H](C(C)C)C(=O)N2)OC(=O)[C@H](C(C)C)NC1=O,9.698970004336019,active,1
23,CHEMBL4746782,0.2,nM,CCC(=O)CCCCC[C@H](NC(=O)[C@H]1CC12CCN(C)CC2)c1[nH]c(-c2ccc(-c3cccnc3)cc2)nc1C#N,9.698970004336019,active,1
24,CHEMBL3317812,0.2,nM,C[C@@]12CSC(=N1)c1csc(n1)CNC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](Cc1c[nH]cn1)NC2=O,9.698970004336019,active,1
25,CHEMBL5288006,0.2,nM,[11CH3]n1cc(CCNCc2ccc(/C=C/C(=O)NO)cc2)c2ccccc21,9.698970004336019,active,1
26,CHEMBL27759,0.2,nM,Nc1ccccc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1,9.698970004336019,active,1
27,CHEMBL4780309,0.2,nM,CCC(=O)CCCCC[C@H](NC(=O)[C@H]1CC12CCN(C)CC2)c1ncc(-c2ccc3[nH]c4ccccc4c3c2)[nH]1,9.698970004336019,active,1
28,CHEMBL3126833,0.2,nM,CSCC[C@H]1NC(=O)C[C@H]2/C=C/CCSSC[C@@H](NC1=O)C(=O)N[C@H](C(C)C)[C@@H](O)CC(=O)O2,9.698970004336019,active,1
29,CHEMBL4634501,0.2,nM,CN1CC(C(=O)N[C@@H](CCCCCC(=O)c2ccon2)c2ncc(-c3ccccc3F)o2)C1,9.698970004336019,active,1
30,CHEMBL2047701,0.2,nM,O=C(NCCS)/C(Cc1cc(Br)c(O)c(Br)c1)=N/O,9.698970004336019,active,1
31,CHEMBL4552057,0.21,nM,Nc1ccc(-c2nc(N3CCOCC3)c3cnn(CCCCCCC(=O)NO)c3n2)cc1,9.67778070526608,active,1
32,CHEMBL3317811,0.21,nM,C[C@@]12CSC(=N1)c1csc(n1)CNC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](Cc1ccc(O)cc1)NC2=O,9.67778070526608,active,1
33,CHEMBL4637357,0.22,nM,CCC(=O)CCCCC[C@H](NC(=O)[C@H]1CC12CCN(CC)CC2)c1ncc(-c2cc3ccccc3nc2OC)[nH]1,9.657577319177793,active,1
34,CHEMBL4642023,0.24,nM,CCC(=O)CCCCC[C@H](NC(=O)[C@H]1CC12CCC(N(C)C)CC2)c1ncc(-c2cc3ccccc3nc2OC)[nH]1,9.619788758288394,active,1
35,CHEMBL5218926,0.28,nM,CCC(=O)CCCCC[C@H](NC(=O)[C@H]1CC12CCN(C)CC2)c1ncc(-c2ccc(-c3ccncc3)cc2)[nH]1,9.55284196865778,active,1
36,CHEMBL1836142,0.28,nM,CC[C@H](C)[C@H]1NC(=O)[C@H]2CSSCC/C=C/[C@H](CC(=O)N[C@H](CCSC)C(=O)N2)OC(=O)C[C@@H]1O,9.55284196865778,active,1
37,CHEMBL4638264,0.29,nM,CCC(=O)CCCCC[C@H](NC(=O)[C@H]1CCC12CCN(CC)CC2)c1ncc(-c2cc3ccccc3nc2OC)[nH]1,9.537602002101044,active,1
38,CHEMBL3317810,0.29,nM,C[C@@]12CSC(=N1)c1csc(n1)CNC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](Cc1ccccc1)NC2=O,9.537602002101044,active,1
39,CHEMBL4759693,0.3,nM,CCC(=O)CCCCC[C@H](NC(=O)[C@H]1CC12CCN(C)CC2)c1[nH]c(-c2ccc3nc(C)ccc3c2)nc1C#N,9.522878745280337,active,1
40,CHEMBL5220616,0.3,nM,CCC(=O)CCCCC[C@H](NC(=O)[C@H]1CC12CCN(C)CC2)c1ncc(-c2ccc3nc(N4CCCC4)ccc3c2)[nH]1,9.522878745280337,active,1
41,CHEMBL3329621,0.3,nM,CC(C)[C@@H]1NC(=O)[C@]2(C)CSC(=N2)c2csc(n2)CNC(=O)C[C@@H](/C=C/CCSSCC/C=C/[C@@H]2CC(=O)NCc3nc(cs3)C3=N[C@@](C)(CS3)C(=O)N[C@@H](C(C)C)C(=O)O2)OC1=O,9.522878745280337,active,1
42,CHEMBL5219739,0.31,nM,CCC(=O)CCCCC[C@H](NC(=O)[C@H]1CC12CCN(C)CC2)c1ncc(-c2ccc(-c3cccnc3)cc2)[nH]1,9.508638306165727,active,1
43,CHEMBL5219006,0.32,nM,CCC(=O)CCCCC[C@H](NC(=O)[C@H]1CC12CCN(C)CC2)c1ncc(-c2ccc3nc(CC)ccc3c2)[nH]1,9.494850021680094,active,1
44,CHEMBL4861271,0.32,nM,CCC(=O)CCCCC[C@H](NC(=O)[C@H]1CC12CCN(C)CC2)c1ncc(-c2cc3ccc(N4CCCC4)nc3cc2OC)[nH]1,9.494850021680094,active,1
